fold,n_frames,n_recs,frame_rmse,frame_mae,frame_r2,rec_rmse,rec_mae,rec_r2,dummy_rmse
1,122303,909,13.037521207212498,8.814340591430664,0.00937509536743164,14.471966709282132,9.909737586975098,0.007287204265594482,13.133282279758458
2,120838,969,16.75187923081085,12.462944030761719,-0.12454617023468018,18.627358511271044,13.84835433959961,-0.155625581741333,17.27222353627989
3,127641,1064,17.40014760623455,14.316329002380371,-0.13157224655151367,17.70065540889085,14.431182861328125,-0.12532579898834229,17.21799610895277
4,124428,931,13.397627184862635,10.841883659362793,-0.03966355323791504,14.573181688008928,11.784690856933594,-0.046309709548950195,13.33133524103408
5,122724,1105,22.131949330150377,15.503998756408691,-0.042389750480651855,22.212720865794868,15.973739624023438,-0.01864016056060791,22.38202086621032
6,129039,1034,14.529889574254826,10.52660846710205,-0.16384756565093994,15.021446155563458,10.731757164001465,-0.1257333755493164,14.780856445019475
7,129781,1097,17.267344724874647,14.139961242675781,-0.01869344711303711,18.23690786152108,15.030465126037598,-0.024173259735107422,17.268033720074996
8,124082,975,15.033658221357886,12.531295776367188,-0.0007413625717163086,15.464196477045423,12.951155662536621,0.004604756832122803,15.033294234016266
9,121512,974,15.324315833397547,11.549538612365723,-0.0024257898330688477,16.361569553436894,12.347616195678711,-0.001373291015625,15.353611175468156
10,129964,976,23.06638475073088,18.115028381347656,0.026993751525878906,22.305045285002574,16.63796615600586,0.022985637187957764,23.525590538286714
